,antecedent,consequent,support,confiance
253,[0],[14],0.038,0.198
254,"[0, 13]",[14],0.036,0.586
255,"[0, 14]",[13],0.036,0.965
256,[51],[44],0.036,0.249
257,"[51, 53]",[44],0.036,0.329
258,"[47, 53]",[44],0.036,0.6
259,[53],[56],0.034,0.276
260,"[0, 62]",[13],0.033,0.319
261,[13],[4],0.033,0.243
262,[49],[56],0.033,0.409
263,"[49, 53]",[56],0.033,0.439
264,"[47, 53]",[56],0.033,0.546
265,"[0, 62]",[4],0.028,0.267
266,"[0, 13]",[4],0.028,0.448
267,[48],[50],0.026,0.443
268,[15],[50],0.025,0.293
269,"[15, 48]",[50],0.024,0.489
270,"[48, 55]",[50],0.024,0.486
271,"[13, 62]",[14],0.021,0.577
272,[56],[68],0.014,0.396
273,"[47, 56]",[68],0.014,0.412
274,[47],[68],0.014,0.218
275,"[53, 56]",[68],0.014,0.405
276,[53],[69],0.012,0.101
277,[15],[69],0.012,0.136
278,"[15, 48]",[69],0.01,0.208
